country,popularity,is_explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,social_media_users,social_media_pct,Total,65+,25-64 years,15-24 years,5-14 years,0-4 years
Germany,77.95803066989508,0.34789961182213,0.6898025673546255,0.6607511641492755,-6.853475575540951,0.5599754025904147,0.11105181982397479,0.20345646577501056,0.02305261605019409,0.16675133171912834,0.5271704831084977,126.6858533763788,67800000.0,0.8064218775832559,83408560,0.22170264059228453,0.5383511236736374,0.10121337666062093,0.09112007208852425,0.0476127630065787
Greece,62.88863792971442,0.6902228007043871,0.7155986524768394,0.6866106691677513,-6.971003368807901,0.32685093025036366,0.1442608337799556,0.29022278975576143,0.016236355042875735,0.1787172651404946,0.526863900160784,120.05310179159329,7400000.0,0.7445536903703048,10445368,0.22508101198540828,0.5284128811928885,0.10590378433770835,0.0991264261823997,0.041475896301595115
Guatemala,84.91023778576344,0.5043963605780258,0.7287220850217907,0.6865604274027066,-6.348323457450876,0.48986925605933174,0.08508044575273338,0.27452757699365393,0.020205825569233123,0.16284938450951908,0.6394056460738589,122.29693883324413,9110000.0,0.4874812044156914,17608484,0.04900450260226832,0.4128791552980938,0.20881933958653112,0.21984073132019769,0.10945621440210299
Honduras,84.25835180796575,0.48085008791376804,0.7305061501414265,0.6825596842749025,-6.384125334454552,0.4824936931427261,0.1032345692225365,0.2678981084397217,0.026567588232168794,0.16759205335983487,0.5999414796269399,119.67874329179726,4500000.0,0.4088753202856675,10278346,0.04197922506208684,0.44704673300548553,0.20523963680537705,0.20295658464893088,0.10277782047811973
Hong Kong,69.54767922794117,0.08164828431372549,0.6134165134803922,0.6154786994485294,-6.569622012867647,0.7573912377450981,0.0659197993259804,0.3653907197074142,0.002875852100949755,0.14373777956495098,0.4909286343443628,132.2914615502451,6460000.0,0.8734356578079199,7494580,0.19603259955861435,0.6005642744490018,0.0816663508829047,0.0800731995655527,0.04166357554392641
Hungary,66.09337614187976,0.4999044452088828,0.7191668768872072,0.6713071513205672,-6.803492374727669,0.4712762297901617,0.11800428085464205,0.2316414576883385,0.022732207636738905,0.16414824370293926,0.5377287123036348,117.59764308374422,7290000.0,0.7568293728697952,9709784,0.20419898115138296,0.5465356386918597,0.10373104077289463,0.09729330745153549,0.048241031932327226
Iceland,59.12603194197978,0.21086335930869532,0.6798601573952627,0.49848230422035333,-8.698652534526657,0.6604428670627266,0.06914405524265103,0.36953100886312784,0.017914077815754957,0.14913715762672633,0.5195452515238022,120.37410643468867,276000.0,0.6930041730903467,370338,0.14926364564262917,0.5364207831764496,0.12802358926170146,0.12687868919743586,0.05941329272178388
India,74.90357446151471,0.022195630355902107,0.6274445688257546,0.580674399752953,-7.3257146992974596,0.6463753570601405,0.0702478344784992,0.48574390720296456,0.004319977834478499,0.14873863583725777,0.5252049718211997,107.64987906276538,462000000.0,0.3156017952413807,1407563900,0.06802464172319282,0.49422976107869776,0.18086969266546266,0.17495605705716097,0.08191984747548584
Indonesia,79.52060712647194,0.02848294846306775,0.5250112784829485,0.5052425447316103,-7.828203853800275,0.8872151705153694,0.03803997553142682,0.5403911725799052,0.03363296435120049,0.15228373604526688,0.37293668756690623,121.86868355253097,139000000.0,0.4864885675186633,273753180,0.06779631199169997,0.5162637014846732,0.16117514324399812,0.17288705102895974,0.08187782877992504
Ireland,85.82832948421863,0.2640877598152425,0.6097878791377983,0.6144936528098537,-7.040815319476521,0.7202463433410315,0.05806762894534257,0.27319164326674367,0.013715542398383372,0.16592550808314088,0.5089014511162433,124.56553452655888,4010000.0,0.7554577584193035,4986525,0.14829044274319292,0.5240334702021949,0.12854422669093207,0.138029188663448,0.061102671700232127
Israel,62.9411471894624,0.07493490580487058,0.6130758921733803,0.5369681727676521,-8.08910265737479,0.3069382753867361,0.07022462858018073,0.4423214110124062,0.012913914234568847,0.18624608286108132,0.46705227446775927,124.21293884974729,6920000.0,0.7271061385830677,8900057,0.11930170784299471,0.4481792644698792,0.15082060710397696,0.1817138923941723,0.09998452818897677
Italy,71.33433942079927,0.43921448765950943,0.6735505463436998,0.6881418415221212,-6.1217624742110495,0.5265530679300069,0.12162549858638343,0.22307647646519446,0.007273312295789715,0.17563626117521206,0.5075674062046305,118.73894972109727,42800000.0,0.7236293732659524,59240336,0.23680375479301805,0.5387761473871452,0.09790172358239156,0.09004123474249032,0.036477173255735754
Japan,71.55674518201285,0.020610278372591006,0.6086724915876415,0.7756781508106455,-4.480428112572652,0.7337106148669318,0.0781739522789844,0.11565197275925358,0.0032349196397981035,0.18034700596512696,0.6364164117467116,129.40326399510553,96000000.0,0.7798347725075749,124612530,0.2978708802397319,0.490996451159446,0.09339295173607341,0.08334259805173685,0.034397054614010325
Kazakhstan,67.18765290519877,0.24327217125382264,0.7071899464831805,0.60040373853211,-7.277862194189602,0.38551223241590216,0.1132454243119266,0.337447483167049,0.05474677933371559,0.16442867354740062,0.5069731957186544,116.29875676605505,14100000.0,0.6764601464224373,19196468,0.07949728043721377,0.49851780025367165,0.1266590291505708,0.19068835996288483,0.10463753019565891
"Korea, Republic of",75.16520507027151,0.09386129514035155,0.6564234672385403,0.6890470799984681,-5.29144227013365,0.6329031516868993,0.06553831042009728,0.23554314130892662,0.020512000938612954,0.16325001340328574,0.5456906291885267,119.79661107494351,48340000.0,0.9356068670524706,51830136,0.1665076472112672,0.6062575255445982,0.10831133068992911,0.08706313253741028,0.03186040260438445
Latvia,79.40676332227963,0.4204904758232436,0.6589068790005398,0.6417553906069252,-6.924835582632837,0.5881853936916789,0.08685789696922959,0.21303589395426853,0.03238200688362767,0.1898339014421223,0.4975910156551246,123.54340591501503,1460000.0,0.78767345,1873926,0.21615101129927222,0.5336694191766377,0.09391459427960336,0.10647058635186235,0.049794388892624365
Lithuania,72.12525509221824,0.26136844942435794,0.6984572022640638,0.6437909591467406,-7.10518790189057,0.5183473874706404,0.07339864079165223,0.22122758689730854,0.042115644675984755,0.16333068807516074,0.5566770051210966,122.7110660736976,2100000.0,0.7420127626195171,2786652,0.20590048560064192,0.544806455919146,0.09746713977920458,0.1016266114319262,0.05019930726908132
Luxembourg,81.92711209276642,0.3564329099944782,0.6637826536246746,0.6443153340695749,-7.011987694249427,0.5048907470221661,0.0892707186242802,0.2390329980831427,0.03270657774788988,0.15804993689358682,0.5300753514238384,124.76097586179696,3070000.0,1.0,639330,0.14745749456462234,0.581073936777564,0.11233165970625499,0.10692600065693773,0.05221090829462093
Malaysia,82.42886637354235,0.16146052380042056,0.5941803479258269,0.5714678570063085,-7.057176639265914,0.7650162492831198,0.05442225578283311,0.3651060412922959,0.017116091002485186,0.1509263926591474,0.4458778627413496,122.91537178359779,28680000.0,0.7971582475860114,33573870,0.07250489740980114,0.5330700333324696,0.16480924004292624,0.15300687707434382,0.07660901171059517
Mexico,83.69823029188693,0.5602160422891289,0.7305027196812993,0.6910994514670957,-6.604645100743124,0.46426108940473454,0.07477082662989351,0.28882488470083506,0.017074476528767334,0.1617676626062974,0.6760255048647821,123.41757117137823,90200000.0,0.6836078122276369,126705140,0.081336392509412,0.4996681586871693,0.1694640959317041,0.17145627241325806,0.07807507256611688
Morocco,61.92133096579943,0.4141897629892689,0.6790220412259708,0.6221616999922798,-8.078457114182044,0.22616382305257468,0.15799666100517257,0.37300822724465377,0.005349333649347642,0.15030491005944568,0.5442643403072647,121.12215208831931,21200000.0,0.5516408713844104,37076588,0.07424930794602783,0.49807441828250215,0.1591509175547653,0.17991679816923822,0.08860850410507029
Netherlands,77.97869959482925,0.20767895041481768,0.6736032027783138,0.6764584711557012,-6.442051283040709,0.5826741269535018,0.07542066370827706,0.2157189514335327,0.017948655784680686,0.15919136793362917,0.5581453559714451,126.1531079297704,15000000.0,0.8175812675779972,17501696,0.1995141499429541,0.5231439855885966,0.12231528875830092,0.10556325512681743,0.049463320583330896
New Zealand,86.46943963027152,0.32208742538031965,0.6418489505103023,0.61993241286347,-6.83792717119199,0.7143847487001733,0.07241186212208743,0.2330034562025804,0.01065929584440593,0.1636206239168111,0.5303585711534758,125.46974084344309,4130000.0,0.7863820712504046,5129730,0.1592828472453716,0.5229875646476521,0.12882295949299477,0.12842898164230865,0.060477646971672974
Nicaragua,84.01627818112343,0.4165456629728697,0.7283618876576232,0.6697882491402368,-6.436077913641575,0.5043561329766909,0.0988938746656477,0.27717874680932364,0.023586964459686666,0.16307456629728698,0.6093322044325563,120.0807841421475,3700000.0,0.5280057081698181,6850546,0.05158450143973926,0.4585579018081187,0.1890787975148258,0.19891757532903218,0.1018612239082841
Nigeria,65.55518035303146,0.29635456638526475,0.7246200690713737,0.6803132808902533,-7.2175838833461246,0.5324251726784344,0.13862787413660785,0.3131791922486569,0.022067437200690713,0.16339963545663852,0.6215449846508058,116.04599033000767,36750000.0,0.1547186015964433,213401330,0.029816191867220322,0.34175143144609266,0.19557200510418563,0.26964299613315434,0.16321733327528934
Norway,75.25655740861995,0.3335130763008897,0.6335109579016293,0.6260783730693679,-6.89076377922428,0.6008165466240419,0.0821839810499557,0.26172715722374146,0.016174444816469593,0.1904877363940993,0.5233458383083619,122.22131980125565,4490000.0,0.7984961951389543,5403021,0.18098300932015626,0.5284227101838027,0.12093067933661557,0.11785850915626647,0.05180509200315897
Pakistan,73.1083374746741,0.08918536641308919,0.6716179899843266,0.5646090064604916,-7.755560266065217,0.4500936580144501,0.10298827554570128,0.41351431018005275,0.008936400800871594,0.15211235903513132,0.5111861309683092,107.30598860812722,71700000.0,0.2809340960739754,231402110,0.042214152671295864,0.3862032200138538,0.20218164821401152,0.2414658189590406,0.12793522064254298
Panama,77.42021561281443,0.507569386038688,0.7129008295741265,0.6636170051532992,-6.545942006269592,0.456495144888753,0.1527834849759156,0.28703327177154214,0.027225738105359738,0.16102270433519383,0.5558159412034559,118.81223086627418,2570000.0,0.5622168406913736,4351264,0.08565327224457077,0.48846450134949293,0.16179988159762312,0.17564252594188723,0.08843981886642593
Paraguay,81.78195199013601,0.382653257812199,0.7039457480830733,0.6748718098485723,-6.053678919585404,0.5104997495472585,0.10181834084691557,0.25525331194852235,0.02100202592917967,0.17562230185335026,0.6103513809578854,122.90864104342465,4220000.0,0.6017327622100418,6703802,0.062284954120065,0.46734688763182447,0.18015910971117582,0.18853047867463865,0.10167856986229605
Peru,83.65888854774332,0.44953177770954866,0.7429459548664414,0.6863402748388087,-6.000053385016887,0.47060178077985876,0.10313634095793675,0.23925748161651827,0.02631871638010439,0.16428616441510593,0.6079845713079521,116.79027087810869,24050000.0,0.695555099,33715464,0.08320644793736191,0.4852873150433285,0.1682054857675991,0.17677757601081806,0.08652317524089242
Philippines,79.35799495297087,0.19958706125258086,0.6370344880324234,0.5573971820753996,-7.767352527338074,0.7304045270321939,0.059328274833677454,0.3326724740766231,0.010303046016670491,0.1438314483444215,0.5088655196145905,119.76501345874436,86750000.0,0.7428052779847072,113880340,0.05326169556571397,0.45548490634994593,0.18488557375223855,0.20167045514616483,0.10469733406134896
Poland,72.72634153799113,0.43762421648066047,0.6761435178107322,0.6842429292157163,-6.796875248432961,0.4779085766702339,0.11714946109157622,0.22215472239718698,0.007461303790322581,0.1938116266625898,0.5107777824491668,125.01317558477297,27900000.0,0.7314982079604834,38307724,0.18836253492898716,0.5599659222771888,0.09797856954383403,0.10387503052909121,0.049817890512106645
Portugal,75.48881837990749,0.3084215757483084,0.6952899193394243,0.5927913658779005,-6.955571581482472,0.44462708819144464,0.15098681524523108,0.40678629653274206,0.024180065531174737,0.16929983179785157,0.5428490565388585,120.63228349707558,7430000.0,0.7136134001805644,10290109,0.22560684245424417,0.5339710201320511,0.10698934287285003,0.09139184045572306,0.04204095408513166
Romania,63.34655516341875,0.3166717814945527,0.7389721114009514,0.7183012505754182,-5.731460065981279,0.4367423661193801,0.10073600583090378,0.19949102274819702,0.013844814915988952,0.1745402370722725,0.5993482008592911,130.37802282491944,13300000.0,0.7033836455369514,19328558,0.1892363103341698,0.5442268895589625,0.1062690243110738,0.10702107213585203,0.053246703659941934
Saudi Arabia,79.22971463780952,0.2698424923941926,0.6153489813994686,0.6518973504833058,-6.679338159972273,0.5290175992606,0.07800082797396696,0.26145801713713557,0.08906971873801363,0.1820863634613163,0.5075021026687719,120.04774536912235,35100000.0,1.0,35950396,0.026000047398643398,0.5676939413963618,0.1445011621012464,0.17316070732572736,0.08864411396191575
Singapore,84.8051012983034,0.22672436903986826,0.6432274520317108,0.6288018957527479,-6.458029604381295,0.695875301597028,0.05951824135421853,0.2506046872544138,0.008123130974302019,0.14699450806173645,0.513850652981502,123.64034629083528,5130000.0,0.8738236170846996,5941063,0.14125990584513243,0.6308605042565615,0.10794802209638242,0.07852399478005873,0.041407573021864943
Slovakia,71.15219721329046,0.5479635584137191,0.6902234343898331,0.6678648752105344,-6.729511254019293,0.5555810748736794,0.12568719568213138,0.21230817542489663,0.023234966874521513,0.17316441586280815,0.47697408513244527,128.1010746440055,4160000.0,0.7598340054941843,5447621,0.1722847459469005,0.5687264220473487,0.10017822458647545,0.1056951282036691,0.05311547921560623
South Africa,67.58773621288083,0.1927111453914385,0.7253021210952564,0.6153727998457386,-8.771857115310452,0.5264944080215966,0.07757142691862708,0.1509966430775164,0.06709777693096798,0.1372860046278442,0.5144432394909371,119.53551133821827,26000000.0,0.4015611461790684,59392256,0.05972128756988116,0.49608221650984263,0.15746689265347993,0.1888606487687553,0.09786895449804095
Spain,79.32793693520478,0.4139973082099596,0.7159317477408191,0.6846313270755623,-6.121696019996154,0.39711593924245336,0.11288389540472986,0.2861827233993463,0.02445173992155355,0.17196712170736397,0.5675349352047683,119.5227569698135,39700000.0,0.8289830862392984,47486932,0.1990288401870224,0.5570037668468454,0.10289826683265198,0.10112186232625009,0.03994724274880508
Sweden,72.84139309602521,0.2939571000230645,0.6258673022218805,0.6034558045667717,-7.5973136003690325,0.65902975320981,0.0914524832782348,0.30707042712385635,0.022365751200891827,0.1790487506727147,0.5215818982086569,125.26189255785347,8530000.0,0.8004429180038661,10467095,0.2010428872576393,0.509453482556526,0.11236317239883654,0.12025017447534392,0.056890283311654286
Switzerland,83.58054453729734,0.312242461585859,0.6547763314976701,0.6449264674394424,-7.0476209034543835,0.5657565371432972,0.08097160241845418,0.2484521752917164,0.03480176549043017,0.16478857781029768,0.5026311452998036,124.5702041822313,6920000.0,0.7716832396422155,8691409,0.18965302403787465,0.5569629734373334,0.10272718727193715,0.10043549900827357,0.05022131624458129
"Taiwan, Province of China",73.94089084305104,0.08763142802523419,0.6353502580768495,0.6211967157331294,-6.305236627795833,0.7361498757407762,0.06189688396100172,0.30541507333205886,0.0013950606270311603,0.15635739246797936,0.49666657235710193,125.06399839418849,19200000.0,0.8307085251462393,23859904,0.1595996362768266,0.6030211605210146,0.11049118219419492,0.08616547660879105,0.040722586310489764
Thailand,71.56179045143534,0.0992699055846489,0.62334123313329,0.6417602538129277,-6.490261075646956,0.8104048010397156,0.06271154007874317,0.28286258254653873,0.006037480131493444,0.18021486946217652,0.5190012384847674,124.55778735522343,49100000.0,0.6855636492092282,71601100,0.14511580129355556,0.5729289633818475,0.12395153147088522,0.11081138418264525,0.04719241743492768
Türkiye,71.81796246648794,0.15404059747223287,0.6493018383761011,0.6466144772117962,-7.790504098046726,0.28709306779011873,0.10265026043661432,0.2698791556032172,0.005459137826886251,0.19342519724243584,0.5361511068556108,118.58527181156646,57500000.0,0.6557534093475083,84775410,0.0837874567637007,0.5270831718773168,0.15432418433600026,0.15683677613591016,0.07796834011183196
Ukraine,66.69524289145426,0.2614860153405129,0.7038625939412723,0.6491199387929031,-6.928095103432247,0.3996668474471217,0.09310204927558689,0.257861941996591,0.05189677866157899,0.16836183853722786,0.5317847292167042,119.30145177035718,24300000.0,0.6233902166216868,43531424,0.17398555581365774,0.5798231181226693,0.09395745932869093,0.1109348501900604,0.04129897060109956
United Arab Emirates,86.35923606278513,0.34025361478388616,0.6410225779014923,0.6247336750947189,-6.699694154488517,0.6151318332946726,0.0735104616098353,0.22607472687698135,0.018209075795639063,0.16313815046779556,0.49722859352045157,122.18008273409109,10730000.0,0.9457077384100124,9365149,0.01758477094171166,0.73273100086288,0.09825396264384048,0.09994683480209444,0.0514834307494734
United Kingdom,86.36077435430543,0.3121855383583305,0.6231051368057885,0.6402512434711773,-6.6968154200009575,0.722363314006421,0.0673222435190953,0.24862473931956489,0.016081537058316164,0.17384325075470794,0.5223482581819924,125.50841314868944,56200000.0,0.8080366578338579,67281040,0.18916097313596816,0.5185535776498104,0.11567336057825503,0.12233745197755563,0.05427462179538247
United States,86.55685955534898,0.47017584630877685,0.6344695677434348,0.5999961127895267,-7.35225749477109,0.6880083662561004,0.0818131419939577,0.2676254501092261,0.019989030073592068,0.16718751646138352,0.49249312340227747,123.80161484235805,239000000.0,0.6882134095071355,336997630,0.16678894744749392,0.5200232713802765,0.13075742995581305,0.12556224801937035,0.05686810319704622
Uruguay,76.2071408888714,0.2831161673818053,0.7086774396724796,0.6862813825532418,-5.845427114907689,0.49423296461047905,0.08755542258788332,0.23578750785340313,0.02022122478329331,0.18180228319489825,0.6665073920403102,115.44153879463056,2500000.0,0.7386200804209544,3426265,0.15458582450569353,0.5064225913640655,0.14462483199635756,0.1374555091331231,0.0569112430007603
"Venezuela, Bolivarian Republic of",81.27906424415153,0.5085302616474686,0.7361435736056684,0.6707748296203935,-6.43543332145826,0.42785892411827575,0.11775550805525867,0.270142105339825,0.029296520243834858,0.16644253651585322,0.5540350706566916,116.25198701658552,14050000.0,0.4926902994364745,28199862,0.08338147186677722,0.4692247075535334,0.16568662640973209,0.1967446507362341,0.08496257889488963
Viet Nam,67.5862394709911,0.10009446587420294,0.6759757537589546,0.5506638746752736,-8.106780170038574,0.7021176100133827,0.07816712193969928,0.4719281322522239,0.009630116698417696,0.16361834999606395,0.4893976619696135,124.37010568369675,72700000.0,0.7155582239982677,97468024,0.08753133232699987,0.5450553096264679,0.14196188074973182,0.14985587478412407,0.07559562303222644
